species,dispersal_distance_class,dispersal_vector,seed_buoyancy,seed_terminal_velocity,palatability,growth_form,growth_form_aquatic,woodiness,LDMC,SLA,leaf_C,leaf_CN_ratio,leaf_N,leaf_NP_ratio,leaf_P,leaf_chlorophyll,longevity,fruit_type,nectar_production,pollinator_type,seed_bank_persistency,seed_dormancy,seed_longevity_index,seed_mass,RDMC,SRA,SRL,mycorrhiza_colonization_intensity,mycorrhiza_type,root_N,root_P,root_mass_fraction,height,leaf_area,leaf_length,leaf_mass,leaf_thickness,rooting_depth,Grime_strategy,carnivory,leaf_phenology,nitrogen_fixation,parasitism,photosynthetic_pathway
Marrubium vulgare,2,Adh,0.36,3.89,2,Hemicryptophyte,terrestrial,non-woody,0.221,4.56,399.1,13.5,32.7,12.3,2.8,8.31,4,capsule,5,1a,3,2,0.36,0.7,0.127,959.57,177.6,38.7,AM,15,1.06,0.346218333333333,19.5,218.5,11.4,13,0.494,0.63,CSR,no,evergreen,no,none,C3
Matricaria chamomilla,1,Passive,0.64,2.27,2,Therophyte,terrestrial,non-woody,0.112,15.9,419.4,14.7,33,12.4,2.7,10.92,1,achene,4,1,3,2,0.46,0.39,0.121,955.09,168.39,47,AM,13.8,1.15,0.324328666666667,12.7,133.1,13.2,4.8,0.474,0.51,CSR,no,deciduous,no,none,C3
Matricaria discoidea,1,Adh,0.47,2.21,2,Therophyte,terrestrial,non-woody,0.151,9.92,420.5,15.7,32.2,12.1,3,10.97,1,achene,4,0c,3,2,0.57,0.41,0.131,941.08,236.14,44.9,AM,14.4,1.18,0.287103333333333,6.5,86.4,18.8,4.6,0.466,0.5,R,no,evergreen,no,none,C3
Medicago falcata,2,Passive,0.36,4.1,7,Hemicryptophyte,terrestrial,non-woody,0.351,7.12,442.7,14.3,28.4,11.9,2.7,7.4,4,capsule,5,2a,4,1,0.04,1.01,0.139,1133.37,88.42,74,AM,21,1.03,0.393877,17.3,47.5,10,2,0.461,0.56,CS,no,evergreen,yes,none,C3
Medicago lupulina,1,Passive,0.23,2.63,8,Hemicryptophyte,terrestrial,non-woody,0.23,10.81,447.8,11.5,34.6,16.5,1.5,28.04,3,pod,3,0c,4,3,0.24,0.99,0.068,1908.5,4024.77,73.7,AM,27,1.16,0.2658,7.3,140.3,8.5,4.5,0.42,0.44,CSR,no,deciduous,yes,none,C3
Medicago minima,1,Passive,0.93,2.81,5,Therophyte,terrestrial,non-woody,0.293,9.83,447.3,10.4,37.4,16.7,1.7,8.93,1,pod,3,0c,3,3,0.2,0.74,0.178,1040.93,78.64,52.2,AM,31.2,1.07,0.3182,4.5,25.7,2.9,0.9,0.42,0.61,SR,no,deciduous,yes,none,C3
Medicago sativa,2,Passive,0.41,3.68,6,Hemicryptophyte,terrestrial,non-woody,0.261,8.06,436.2,8.7,40.9,28.4,2.2,9.53,4,pod,5,2a,4,1,0.47,1.16,0.089,3724.43,41.25,87.3,AM,26.7,1.24,0.2999,23,172.3,5.9,7.3,0.433,0.64,SR,no,evergreen,yes,none,C3
Melampyrum arvense,3,Myr,0.49,3.52,2,Vascular semi-parasite,terrestrial,non-woody,0.187,10.09,413.2,14.6,33.5,12,2.7,9.05,1,capsule,4,2a,2,3,0.25,5.69,0.133,1019.51,188.19,0,None,14.1,1.07,0.344795333333334,12.1,112.7,11.8,6.6,0.467,0.54,CR,no,evergreen,no,hemiparasite,C3
Melampyrum cristatum,3,Myr,0.12,4.3,2,Vascular semi-parasite,terrestrial,non-woody,0.184,9.17,435.7,17.5,26.4,11.7,2.4,7.84,1,capsule,4,1a,2,4,0,2.82,0.175,901.99,109.37,0,None,12.2,1.06,0.365564,10.7,110.1,11.6,5.9,0.478,0.48,CR,no,deciduous,no,hemiparasite,C3
Melampyrum nemorosum,3,Myr,0.46,3.62,2,Vascular semi-parasite,terrestrial,non-woody,0.158,13.8,435.9,17.4,26.7,9.6,2.8,9.62,1,capsule,4,1a,1,3,0,2.81,0.173,1125.47,188.52,11.9,None,12.1,1.09,0.340898333333333,10.4,187,14.4,5.4,0.443,0.48,CR,no,deciduous,no,hemiparasite,C3
Melampyrum pratense,3,Myr,0.44,3.68,2,Vascular semi-parasite,terrestrial,non-woody,0.192,9.97,445.7,17.8,23.8,6.7,2.7,7.25,1,capsule,4,1a,1,4,0,2.44,0.196,1083.64,173.85,3.3,None,10.7,1.04,0.317000666666667,8.1,72.1,10,2.8,0.446,0.47,CR,no,deciduous,no,hemiparasite,C3
Melampyrum sylvaticum,3,Myr,0.09,3.34,2,Vascular semi-parasite,terrestrial,non-woody,0.167,14.96,456.6,19.6,23.6,9.9,2.1,4.7,1,capsule,4,1a,1,3,0,2.13,0.203,1218.82,421.03,0,None,8,1.02,0.347242333333333,8.6,78.1,10,2.1,0.436,0.47,CR,no,deciduous,no,hemiparasite,C3
Melica ciliata,2,AirP,0.85,0.65,4,Hemicryptophyte,terrestrial,non-woody,0.517,7.83,410.1,18.4,26.5,12.1,1.9,5.79,4,achene,1,0b,1,2,0,0.62,0.197,795.11,63.85,53,AM,9.1,0.89,0.491437333333333,15.3,76.8,41.5,4.3,0.433,0.52,CSR,no,deciduous,no,none,C3
Melica nutans,2,Passive,0.87,1.87,4,Hemicryptophyte,terrestrial,non-woody,0.346,10.63,460.5,20.1,25.1,16.7,1.7,3.6,4,achene,1,0b,2,2,0.25,1.24,0.208,848.77,60.85,54.7,AM,9.7,0.91,0.470847666666667,13.9,147,45.2,4.4,0.39,0.52,CS,no,deciduous,no,none,C3
Melica picta,2,Passive,0.88,2,4,Hemicryptophyte,terrestrial,non-woody,0.319,7.73,440.1,23.5,19.5,13.6,1.7,6.14,4,achene,1,0b,2,2,0.05,1.06,0.207,697.33,66.3,48.3,AM,10.4,0.95,0.485696666666666,12.4,238.4,56.2,11.6,0.425,0.53,C,no,deciduous,no,none,C3
Melica uniflora,2,Passive,0.94,3.62,4,Hemicryptophyte,terrestrial,non-woody,0.269,18.26,455.8,16.9,23.5,11.9,1.8,8.3,4,achene,1,0b,1,3,0,1.37,0.184,961.68,90.53,70,AM,9.7,0.93,0.478860666666667,14.9,165,47.8,3.7,0.42,0.52,C,no,deciduous,no,none,C3
Melilotus albus,2,Passive,0.44,3.41,6,Hemicryptophyte,terrestrial,non-woody,0.211,8.19,416.8,10.6,33,17.8,1.2,6.55,2,pod,4,1a,4,3,0.3,1.14,0.066,1189.47,2715.52,63.3,AM,13.7,1.11,0.4726,27.9,112.2,9.6,8,0.454,0.55,CR,no,deciduous,yes,none,C3
Melilotus altissimus,2,Passive,0.36,3.75,7,Hemicryptophyte,terrestrial,non-woody,0.23,6.13,431,13.2,36.4,16.3,2.2,8.2,2,capsule,4,1a,4,2,0.75,1.89,0.092,1256.98,138.74,56.9,AM,21.9,1.08,0.327668,38.7,103.7,13.5,6.2,0.451,0.54,CR,no,deciduous,yes,none,C3
Melilotus dentatus,2,Passive,0.41,3.6,6,Hemicryptophyte,terrestrial,non-woody,0.218,7.81,431.5,13.5,35.9,16.4,2.2,8.26,2,capsule,4,1a,3,2,0.35,1.32,0.109,983.13,74.36,52.8,AM,22.5,0.98,0.289532,18.4,151.8,11.6,8.1,0.467,0.55,CS,no,deciduous,yes,none,C3
Melilotus officinalis,2,Passive,0.28,3.42,7,Hemicryptophyte,terrestrial,non-woody,0.225,7.63,427.1,13.3,41.3,22.3,1.6,9.86,2,pod,4,1a,4,3,0.21,1.24,0.068,1390.52,236.66,46.7,AM,3.5,1.08,0.28,33.3,165.2,9.6,9.5,0.464,0.72,CR,no,deciduous,yes,none,C3
Melilotus wolgicus,2,Passive,0.33,3.97,6,Hemicryptophyte,terrestrial,non-woody,0.216,8.95,432.2,12.2,38.6,18.3,2.1,10.13,2,pod,4,1a,3,2,0.33,2.03,0.093,1196.31,3.3,51.2,AM,25.8,1.23,0.308223,27.6,274,17.3,13.7,0.438,0.55,CSR,no,deciduous,yes,none,C3
Melissa officinalis,3,Passive,0.64,3.13,2,Hemicryptophyte,terrestrial,non-woody,0.193,11.99,433.7,15.6,28.7,10.6,2.9,10.29,4,achene,4,1a,2,3,0,0.58,0.145,1044.64,207.08,55.7,AM,13,1.09,0.367437666666666,21,894.3,21.3,29.7,0.445,0.51,C,no,evergreen,no,none,C3
Mentha aquatica,2,Passive,0.87,2.75,2,Hemicryptophyte,terrestrial,non-woody,0.209,10.14,462.8,27,13.2,12.7,1.7,8.12,4,capsule,5,2,3,3,0.32,0.41,0.079,1020.45,198.41,43.3,AM,10.2,0.95,0.36,19,477.4,18.6,8.9,0.454,0.48,CS,no,deciduous,no,none,C3
Mentha arvensis,2,Passive,0.93,2.27,2,Hemicryptophyte,terrestrial,non-woody,0.175,13.76,422.3,27.5,15.1,9.5,2.5,8.79,4,capsule,5,2,4,3,0.19,0.43,0.15,1475.97,265.95,33.3,AM,10.9,0.99,0.371536,16,200.1,15.1,9.4,0.423,0.42,C,no,deciduous,no,none,C3
Mentha longifolia,2,Passive,0.99,1.49,2,Hemicryptophyte,terrestrial,non-woody,0.192,9.64,439.7,20.4,29.4,11.4,3.5,9.39,4,achene,5,2,3,2,0.28,0.39,0.137,1225.83,2861.77,60,AM,8.2,1,0.363040666666667,25.4,616.5,21.5,23.9,0.424,0.51,C,no,deciduous,no,none,C3
Mentha spicata,2,Passive,0.79,2.26,2,Hemicryptophyte,terrestrial,non-woody,0.256,7.76,427.9,18.1,26.6,10.7,2.9,8.39,4,capsule,5,2,2,2,0,0.39,0.125,1096.09,288.54,50,AM,11.7,1,0.378588333333333,21.3,488.1,21.7,22.3,0.451,0.51,C,no,evergreen,no,none,C3
Mentha suaveolens,2,Passive,1,1.75,2,Hemicryptophyte,terrestrial,non-woody,0.185,10.85,430.3,18.9,25.2,11.2,2.8,8.99,4,capsule,5,2,3,2,0.28,0.39,0.126,1189.2,342.46,50.9,AM,11,1,0.348273666666666,22.3,342.9,15.1,19.6,0.446,0.49,CSR,no,deciduous,no,none,C3
Menyanthes trifoliata,6,Passive,0.79,3.85,1,Cryptophyte,aquatic,non-woody,0.178,9,447.7,18,29.7,8.3,3.2,7.27,4,capsule,4,1,1,3,0,1.35,0.239,1000.16,57.24,0,AM,7.1,0.63,0.429682,7.9,1376.5,12.3,56.6,0.473,0.62,CS,no,evergreen,no,none,C3
Mercurialis annua,3,Passive,0.92,3.16,2,Therophyte,terrestrial,non-woody,0.165,18.09,420.3,15.5,28.1,13.4,2.4,12.94,1,capsule,1,0b,4,2,0.44,1.08,0.118,908.17,210.97,30,AM,13,1.12,0.32724,8.9,224,15.1,6.5,0.446,0.53,R,no,deciduous,no,none,C3
Mercurialis perennis,3,Passive,0.79,4.62,3,Hemicryptophyte,terrestrial,non-woody,0.206,12.1,411.1,14,33.9,14.5,2.2,11.73,4,capsule,1,0b,1,4,0,2.37,0.146,929.98,110.44,90,AM,13.2,1.08,0.76,10.4,480.6,23.7,21.8,0.468,0.43,CS,no,deciduous,no,none,C3
Mertensia maritima,2,Passive,0.67,3.09,2,Hemicryptophyte,terrestrial,non-woody,0.157,8.68,418.7,14.8,36.8,10.1,3.6,8,4,capsule,5,0c,2,3,0.28,1.05,0.13,1031.67,181.32,35.8,AM,15.2,1.05,0.331234,16,116.6,18.3,9.4,0.485,0.64,CSR,no,evergreen,no,none,C3
Mertensia sibirica,2,Passive,0.8,2.68,3,Hemicryptophyte,terrestrial,non-woody,0.19,10.79,432.3,19,24,9.3,2.5,8.16,4,capsule,4,1,2,3,0.05,0.78,0.189,1511.68,101.8,53.5,AM,11.2,1.01,0.478440333333334,18.8,362,18.8,15.2,0.44,0.49,CSR,no,deciduous,no,none,C3
Mertensia simplicissima,2,Adh,0.7,2.89,3,Hemicryptophyte,terrestrial,non-woody,0.175,8.83,384.6,15.6,29.5,10.3,2.9,7.05,4,capsule,4,0c,2,2,0.16,0.99,0.141,1022.34,99.36,35.4,AM,13.5,1.04,0.392152,7.6,118.9,14,6,0.47,0.51,CSR,no,deciduous,no,none,C3
Meum athamanticum,2,Passive,0.77,2.63,4,Hemicryptophyte,terrestrial,non-woody,0.268,5.22,423.8,17,24.6,11.3,1.7,5.67,4,achene,6,2,1,3,0,3.24,0.202,759.96,35.99,59.3,AM,9.7,0.9,0.507853666666667,9.9,954.5,37.2,57,0.484,0.51,C,no,deciduous,no,none,C3
Micranthes foliolosa,1,Passive,0.79,1.63,3,Hemicryptophyte,terrestrial,non-woody,0.13,8.42,453.5,24.4,12.9,6.4,2,2.46,4,capsule,3,0a,2,3,0.11,0.43,0.22,1022.85,37.04,24,AM,10.8,1.01,0.434127666666667,2.4,14.1,5.6,1,0.494,0.43,CSR,no,evergreen,no,none,C3
Micranthes hieraciifolia,1,Passive,0.7,2.25,3,Hemicryptophyte,terrestrial,non-woody,0.167,6.17,435.8,15.7,29.7,7.6,3.9,4.43,4,capsule,3,1,2,2,0.5,0.53,0.193,1134.92,59.3,28.9,AM,14.6,1.1,0.487438333333333,5.7,151,11.9,9.9,0.486,0.46,CSR,no,deciduous,no,none,C3
Micranthes nivalis,1,Passive,0.78,1.7,3,Hemicryptophyte,terrestrial,non-woody,0.231,5.8,452.1,22.5,20.1,8.1,2.6,4.26,4,capsule,3,1,4,2,0.5,0.38,0.221,1112.79,43.46,27.9,AM,11.7,1.03,0.477130666666667,2.2,79.2,8.9,5,0.477,0.45,CSR,no,evergreen,no,none,C3
Micranthes stellaris,1,Passive,0.86,1.36,2,Chamaephyte,terrestrial,non-woody,0.153,8.54,456.5,24.3,19.8,11.3,2,4.13,4,capsule,3,1,2,3,0.17,0.38,0.217,867.6,46.94,10,AM,10.2,0.92,0.388609,2.1,19.8,5.2,1.1,0.495,0.42,S,no,evergreen,no,none,C3
Micranthes tenuis,1,Passive,0.8,1.67,3,Hemicryptophyte,terrestrial,non-woody,0.216,6.58,459.7,19.4,23.2,9.3,2.5,4.27,4,capsule,3,1,1,3,0.11,0.41,0.22,1052.11,31.69,28.4,AM,11.3,1.08,0.455592666666667,0.6,13.1,6.2,1,0.481,0.43,CSR,no,evergreen,no,none,C3
Milium effusum,2,Passive,0.93,3.89,5,Hemicryptophyte,terrestrial,non-woody,0.254,13.15,460.9,28,22.9,20.5,1.5,12.6,4,nut,1,0b,3,2,0.33,0.75,0.186,1088.02,131.38,36.7,AM,10,0.94,0.427117333333333,28.8,619.3,55.1,15.6,0.421,0.51,CS,no,evergreen,no,none,C3
Milium vernale,2,Passive,0.84,2.26,4,Therophyte,terrestrial,non-woody,0.29,8.41,438.3,24.1,20.9,13.4,1.5,6.3,1,nut,1,0b,2,2,0.16,0.66,0.19,657.5,101.2,60,AM,9.1,0.91,0.411823,7.7,49.1,34.1,2.6,0.42,0.5,CSR,no,deciduous,no,none,C3
Minuartia biflora,1,Passive,0.61,1.84,3,Hemicryptophyte,terrestrial,non-woody,0.22,7.12,454.4,24.9,20.1,9.4,2.3,3.12,4,capsule,3,0c,1,2,0.16,0.48,0.234,918.29,35.4,18.1,None,9.6,1.02,0.381831666666667,1.5,1.8,4.2,0.5,0.486,0.52,CSR,no,evergreen,no,none,C3
Minuartia rossii,1,Passive,0.63,1.77,3,Hemicryptophyte,terrestrial,non-woody,0.223,5.1,438.9,21.5,25.5,12.7,2.1,3.78,4,capsule,3,0c,2,2,0.15,0.46,0.218,911.31,32.37,18.4,None,10.8,1.01,0.376577666666667,2.2,2.1,3.8,0.5,0.493,0.45,CSR,no,evergreen,no,none,C3
Minuartia rubella,1,Passive,0.56,1.7,3,Chamaephyte,terrestrial,non-woody,0.204,8.39,444.5,24.7,20.2,10,2.3,2.59,4,capsule,2,0c,2,2,0,0.4,0.225,939.48,33.19,21,None,10.9,1.09,0.339448,1.8,1.3,3.4,0.4,0.483,0.46,CSR,no,evergreen,no,none,C3
Minuartia stricta,1,Passive,0.75,1.51,3,Chamaephyte,terrestrial,non-woody,0.25,6.61,445.9,25.8,17.5,10.1,2,5.79,4,capsule,2,0c,2,3,0.15,0.42,0.238,717.77,32.04,14.3,None,9.3,0.88,0.318400333333334,3,1.5,3.6,0.7,0.495,0.43,S,no,evergreen,no,none,C3
Misopates orontium,2,Passive,0.61,2.44,2,Therophyte,terrestrial,non-woody,0.148,10.35,407.7,15.3,30.6,13,2.2,10.56,1,capsule,3,1a,3,2,0.5,0.42,0.125,804.19,129.91,37.3,AM,13.7,1.11,0.266888333333333,11.7,25.4,11.6,2,0.47,0.47,SR,no,deciduous,no,none,C3
Moehringia lateriflora,3,Passive,0.71,2.38,3,Hemicryptophyte,terrestrial,non-woody,0.191,17.88,378.2,19.9,20.2,9.4,2.8,6.28,3,capsule,3,0c,3,2,0.31,0.54,0.187,1779.29,161.92,0,None,12.4,0.99,0.346795,6.5,23.3,6.8,2.6,0.447,0.45,CSR,no,evergreen,no,none,C3
Moehringia trinervia,3,Passive,0.36,2.57,3,Hemicryptophyte,terrestrial,non-woody,0.174,13.21,422.1,17.9,26.8,9.3,3.1,9.14,3,capsule,3,0c,3,2,0.36,0.43,0.149,1165.07,200.09,10,None,13,1.04,0.323644,7.9,41,6.8,1.4,0.44,0.45,CSR,no,deciduous,no,none,C3
Molinia caerulea,2,Passive,0.86,2.27,4,Hemicryptophyte,terrestrial,non-woody,0.33,8.44,460,21.6,17.8,21.9,1,6.92,4,achene,1,0b,2,1,0.18,0.68,0.172,670,9.5,45.9,AM,8.3,1.18,0.4183,24.4,284,48.3,6.8,0.413,0.7,CS,no,deciduous,no,none,C3
Molopospermum peloponnesiacum,2,Passive,0.71,3.04,3,Hemicryptophyte,terrestrial,non-woody,0.195,9.21,441.8,17.4,29.1,10.7,2.8,8.97,4,achene,7,2,1,4,0.04,1.7,0.165,793.35,55.4,65.4,AM,11.8,1.03,0.482590333333333,43.6,1922.2,42.6,84.6,0.462,0.49,CSR,no,deciduous,no,none,C3
Moneses uniflora,3,AirD,0.73,1.03,3,Hemicryptophyte,terrestrial,non-woody,0.274,7.47,458,28.5,19.9,9.9,1.9,2.4,4,capsule,1,1,1,3,0.07,0.37,0.233,952.24,49.33,64.7,PyrM,11.3,0.9,0.417558333333333,2.6,113.5,0.8,5.9,0.455,0.44,S,no,evergreen,no,none,C3
Monotropa hypopitys,3,AirD,0.78,0.95,2,Cryptophyte,terrestrial,non-woody,0.245,6.5,469.5,25.6,19.8,12.3,1.7,4.65,4,capsule,3,1a,1,3,0,0.37,0.221,703.29,45.75,70,MonM,11,0.88,0.414603666666667,5.7,38.7,5.4,3,0.483,0.46,CS,no,deciduous,no,none,C3
Montia fontana,3,Passive,0.93,2.72,3,Cryptophyte,terrestrial,non-woody,0.089,17.97,407.7,20.3,25,10.4,2.8,7.42,1,capsule,3,0c,3,2,0.38,0.46,0.172,1145.47,210.46,26.1,AM,12.3,0.98,0.264160666666666,3.6,6.5,4,0.4,0.489,0.39,SR,no,evergreen,no,none,C3
Muscari armeniacum,1,Passive,0.6,3.79,3,Cryptophyte,terrestrial,non-woody,0.125,7.89,423.8,15.1,33.9,11.6,2.9,9.65,4,capsule,4,1a,2,3,0.09,1.44,0.136,780.92,64.93,56,AM,13.9,1.01,0.475428,9,501.8,138.3,24,0.508,0.51,CSR,no,deciduous,no,none,C3
Muscari botryoides,1,Passive,0.62,3.69,4,Cryptophyte,terrestrial,non-woody,0.091,10.99,440.7,15.6,31,12.1,2.5,9.7,4,capsule,4,1a,1,3,0.04,1.27,0.163,845.07,60.67,54,AM,13,1.03,0.481865,6.4,560.4,56.7,19.5,0.474,0.48,CSR,no,deciduous,no,none,C3
Muscari latifolium,2,Passive,0.58,4.11,3,Cryptophyte,terrestrial,non-woody,0.106,9.05,430.9,15.3,32.6,12.2,2.7,9.98,4,capsule,4,1a,1,3,0.04,2.41,0.152,780.61,56.49,52.9,AM,14.1,1.08,0.476994333333333,7,485.9,81.2,22.7,0.493,0.5,CSR,no,deciduous,no,none,C3
Myosotis arvensis,2,Adh,0.98,2.23,2,Hemicryptophyte,terrestrial,non-woody,0.156,12.01,406.5,17.7,24.5,11,2.6,11.38,1,capsule,4,0c,3,2,0.25,0.52,0.136,1031.34,117.36,10,AM,13,1.12,0.2465,10.4,169.8,29.8,7.8,0.448,0.48,R,no,deciduous,no,none,C3
Myosotis decumbens,1,Adh,0.75,2.63,3,Hemicryptophyte,terrestrial,non-woody,0.146,18.17,424.6,17.5,25.7,9.1,2.9,8.05,4,capsule,5,0c,2,3,0.14,0.66,0.177,1393.77,149.22,44.6,AM,13.2,1.07,0.411266833333333,6.8,53.7,10.8,1.5,0.444,0.46,CSR,no,evergreen,no,none,C3
Myosotis discolor,1,Adh,0.65,2.24,2,Therophyte,terrestrial,non-woody,0.137,11.63,388.8,17.7,26,11.7,2.5,9.18,1,achene,4,1,3,2,0.5,0.44,0.14,1099.05,184.28,30,AM,12.5,1.06,0.292626,9.8,35.5,9.6,1.1,0.453,0.43,SR,no,evergreen,no,none,C3
Myosotis laxa,2,Water,0.98,2.38,2,Hemicryptophyte,terrestrial,non-woody,0.11,15.36,427.4,17.4,27.6,11.2,2.6,9.49,1,capsule,4,0c,4,3,0.38,0.45,0.057,1370.75,18.27,80,AM,14.4,1.06,0.39674,8.7,110.4,22.4,2.5,0.441,0.47,CSR,no,evergreen,no,none,C3
Myosotis nemorosa,2,Passive,0.77,2.38,3,Hemicryptophyte,terrestrial,non-woody,0.171,15.32,396.8,18.3,22.6,8.9,2.8,8.48,3,capsule,4,1,3,2,0.26,0.42,0.148,1462.51,136.47,42.1,AM,12.6,1.06,0.420084333333333,13,72.8,12.7,4.1,0.422,0.47,CSR,no,evergreen,no,none,C3
Myosotis ramosissima,1,Adh,0.65,2.1,2,Therophyte,terrestrial,non-woody,0.183,10.2,144.9,18.1,25.2,11.4,2.3,8.63,1,achene,4,0c,3,2,0.59,0.46,0.15,1107.86,174.57,10,AM,12.3,1.06,0.259424333333333,5.7,89.2,9.3,2.2,0.458,0.39,SR,no,evergreen,no,none,C3
Myosotis scorpioides,2,Water,0.93,2.44,2,Hemicryptophyte,terrestrial,non-woody,0.144,17.36,431,19.3,23.4,9.6,2.3,8.93,4,capsule,5,1,3,3,0.16,0.52,0.149,1582.91,148.76,48,AM,11.7,1,0.417931333333333,14.2,218.2,37.2,3.4,0.433,0.44,CSR,no,evergreen,no,none,C3
Myosotis stricta,1,Adh,0.69,1.88,2,Therophyte,terrestrial,non-woody,0.179,8.53,366.5,19.6,24.1,11.5,2.1,7.56,1,capsule,4,0c,3,2,0.21,0.44,0.15,1149.6,203.01,31.5,AM,11.9,1,0.0628,5,11,9.6,0.9,0.462,0.42,SR,no,evergreen,no,none,C3
Myosotis sylvatica,2,Adh,0.64,3.11,3,Hemicryptophyte,terrestrial,non-woody,0.151,11.7,433.9,14.8,29.6,9.3,3,11.17,3,capsule,5,0c,1,3,0,0.59,0.141,1202.71,212.57,10,AM,13.6,1.13,0.403020333333333,10.9,188,29.8,9,0.454,0.48,CSR,no,evergreen,no,none,C3
Myrica gale,6,Bird,1,3.15,3,Chamaephyte,terrestrial,woody,0.345,4.62,485,21.5,25.3,28.5,1.1,4.98,4,drupe,2,0b,1,3,0,0.91,0.252,591.82,50.91,30,AM,11.1,0.8,0.288257666666667,49.3,73,15.1,6.2,0.457,0.5,CS,no,deciduous,yes,none,C3
Myricaria germanica,5,AirP,0.9,1.19,2,Phanerophyte,terrestrial,woody,0.329,3.71,462,25.8,18,12.1,1.7,4.18,4,capsule,4,1,2,3,0.15,0.39,0.26,466.13,50.15,20,AM,10,0.76,0.287245666666667,62.4,7,1.8,1.1,0.475,0.5,CS,no,evergreen,no,none,C3
Myriophyllum alterniflorum,6,Water,0.81,2.53,2,Cryptophyte,aquatic,non-woody,0.205,35.83,437.3,21.4,23.4,13.2,1.9,6.56,4,achene,1,0b,2,4,0.16,0.59,0.198,972.35,98.19,0,None,12.8,0.89,0.369258,15.9,3.3,6.6,0.4,0.461,0.46,CR,no,evergreen,no,none,C3
Myriophyllum hippuroides,2,Water,0.86,2.43,2,Hemicryptophyte,terrestrial,non-woody,0.171,11.97,442.4,19.4,24,10.5,2.2,6.53,4,capsule,1,0b,2,3,0.07,0.64,0.205,1056.79,62.91,18.7,None,11.3,0.98,0.414481,7,85.5,9.9,3.2,0.452,0.45,CSR,no,evergreen,no,none,C3
Myriophyllum sibiricum,6,Water,0.81,2.59,2,Cryptophyte,terrestrial,non-woody,0.148,45.62,429.2,18.7,25.7,12.3,2,7.07,4,achene,1,0b,1,4,0.09,0.87,0.176,943.26,84.93,7.7,None,14.1,0.94,0.363231333333333,7.6,19.5,5.8,1.2,0.462,0.44,CSR,no,evergreen,no,none,C3
Myriophyllum spicatum,6,Water,0.77,2.93,2,Cryptophyte,aquatic,non-woody,0.201,17.75,428.8,17.9,30.6,15.2,2.4,7.33,4,drupe,1,0b,1,4,0,0.77,0.157,852.07,98.28,6.6,None,14.6,0.9,0.360301333333333,32.3,11,6.6,2,0.473,0.47,CR,no,evergreen,no,none,C3
Myriophyllum verticillatum,6,Water,0.79,2.89,2,Cryptophyte,aquatic,non-woody,0.176,82.77,430,16.3,32.5,15.7,2.7,8.61,4,drupe,1,0b,2,4,0.08,0.92,0.142,900.32,117.45,5.4,None,15.5,0.94,0.359402666666667,33.5,199.6,16.9,6.1,0.45,0.47,CR,no,evergreen,no,none,C3
Myrrhis odorata,2,Passive,0.63,3.91,3,Hemicryptophyte,terrestrial,non-woody,0.238,14.96,426,15.4,51.5,12,4.3,9.21,4,achene,5,2,2,4,0.62,14.49,0.146,990.42,68.95,70,AM,13.3,1.1,0.467372,40.2,35986.5,57.7,1552.2,0.459,0.55,C,no,deciduous,no,none,C3
Najas flexilis,6,Water,0.73,2.52,2,Cryptophyte,aquatic,non-woody,0.161,17.42,416,19.7,28.2,14.4,2.6,6.97,1,achene,1,0b,3,4,0.4,0.75,0.158,936.84,108.04,7.4,None,13.9,0.93,0.322119333333333,16.2,1.5,8.3,0.8,0.479,0.39,CSR,no,deciduous,no,none,C3
Najas marina,6,Water,0.67,2.76,3,Cryptophyte,aquatic,non-woody,0.061,13.8,424.1,18.1,31.3,16.9,3,6.95,3,achene,1,0b,2,4,0.2,1.68,0.149,726.24,110.23,6.6,None,14.1,0.93,0.353333333333333,21.3,15.6,8.6,0.8,0.523,0.48,CR,no,deciduous,no,none,C3
Najas tenuissima,2,Passive,0.72,2.61,2,Cryptophyte,terrestrial,non-woody,0.151,8.4,393.9,15.8,31.7,11.4,3,6.21,3,capsule,3,1,2,2,0.2,0.7,0.143,878.54,94.71,23.1,None,14.5,1.01,0.359975,7,47.5,9.3,2.2,0.483,0.46,CSR,no,deciduous,no,none,C3
Narcissus poeticus,1,Passive,0.71,3.05,2,Cryptophyte,terrestrial,non-woody,0.178,7.48,420.2,19.9,21.1,11.4,2.5,7.45,4,capsule,5,2a,1,3,0.05,2.67,0.176,819.44,58.65,65.1,AM,11.4,1.02,0.509937333333333,12.4,1686,93,88.3,0.507,0.49,CSR,no,deciduous,no,none,C3
Narcissus pseudonarcissus,2,Passive,0.65,3.25,2,Cryptophyte,terrestrial,non-woody,0.138,7.47,437.5,16.8,38.5,14.2,2.5,8.43,4,capsule,5,2a,1,3,0.06,2.41,0.169,865.4,52.18,70,AM,12.9,1,0.505597666666666,11.1,722.3,119.9,33.4,0.519,0.39,CSR,no,deciduous,no,none,C3
Nardus stricta,1,Passive,0.54,2.68,6,Hemicryptophyte,terrestrial,non-woody,0.393,4.77,445.8,26.6,17.6,11.6,1.3,7.94,4,achene,1,0b,2,4,0.09,0.54,0.175,805,9.09,53.4,AM,7.4,0.87,0.425,8.1,26,44.5,3.1,0.459,0.48,CS,no,evergreen,no,none,C3
